target	response
0	-1.19
25	27.08
50	9.19
-25	-27.51
-50	-51.28
0	9.42
-50	-40.16
25	24.21
-25	-11.57
50	37.10
-25	-24.74
0	10.00
-50	-27.50
50	27.59
25	8.56
