target	response
0	-0.22
-50	-23.62
50	33.51
25	17.47
-25	-18.23
0	0.82
50	51.47
25	11.15
-25	-14.39
-50	-21.50
25	36.70
0	-0.14
-25	-20.81
-50	-30.94
50	-22.07
