target	response
-50	-6.59
-25	-20.10
25	10.54
50	41.76
0	8.33
-50	-39.64
0	5.92
25	14.01
-25	-17.55
50	40.47
-25	-8.48
50	33.24
25	10.48
-50	-52.28
0	12.50
