target	response
50	3.28
0	1.27
-25	-40.85
-50	-58.50
25	21.42
50	54.41
-25	-38.18
25	22.47
0	6.80
-50	-33.51
-25	-21.09
50	34.60
25	22.84
0	0.87
-50	-38.18
