target	response
-25	-0.09
-50	-22.68
25	37.25
0	15.51
50	51.79
-50	-19.21
25	37.70
-25	-10.34
50	55.01
0	11.32
50	55.70
-50	-29.31
25	14.70
0	34.54
-25	-9.13
