target	response
-50	-2.39
25	12.33
50	26.88
0	13.67
-25	-26.16
-50	-37.49
50	38.56
-25	-15.59
25	25.20
0	-0.87
50	26.28
0	-0.92
-50	-34.77
-25	-14.50
25	13.71
